00000E	Fujitsu
000039	Toshiba
000048	EPSON
000054	Schneider
000085	Canon
000087	Hitachi
000095	SONY
000097	DELL
0000DD	TCL
0000E2	Acer
0000F0	Samsung
000123	Schneider
000124	Acer
000144	DELL
00014A	SONY
000185	Hitachi
0001E3	Siemens
0001E6	HP
0001E7	HP
000205	Hitachi
000220	Canon
000255	IBM
00026C	Philips
000278	Samsung
0002A3	Hitachi
0002A5	HP
0002B3	Intel
0002D1	vivo
0002DC	Fujitsu
0002EE	Nokia
000346	Hitachi
000347	Intel
000393	Apple
0003FF	Microsoft
00040F	ASUS
00041F	SONY
000423	Intel
00047D	Motorola
0004AC	IBM
0004D5	Hitachi
0004EA	HP
000502	Apple
000519	Siemens
00054E	Philips
00055D	D-Link
0005B5	Broadcom
0005C9	LG
0005FC	ASUS
000600	Toshiba
00061B	Lenovo
000629	IBM
00065B	DELL
0006FB	Hitachi
0007AB	Samsung
0007E9	Intel
000802	HP
00080D	Toshiba
000874	DELL
000883	HP
0008C6	Philips
0008C7	HP
0008F7	Hitachi
000918	Samsung
00092D	HTC
00095B	NETGEAR
00095C	Philips
00096B	IBM
0009BF	Nintendo
0009FB	Philips
000A00	MediaTek
000A0E	vivo
000A27	Apple
000A28	Motorola
000A56	Hitachi
000A57	HP
000A95	Apple
000AD9	SONY
000AE0	Fujitsu
000AEB	TP-LINK
000AF7	Broadcom
000B23	Siemens
000B5D	Fujitsu
000B86	Aruba
000BA3	Siemens
000BCD	HP
000BDB	DELL
000BE1	Nokia
000C09	Hitachi
000C6E	ASUS
000C76	MSI
000C81	Schneider
000CE7	MediaTek
000CF1	Intel
000D3A	Microsoft
000D41	Siemens
000D56	DELL
000D57	Fujitsu
000D60	IBM
000D88	D-Link
000D93	Apple
000D9D	HP
000DAE	Samsung
000DB6	Broadcom
000DE5	Samsung
000E07	SONY
000E0C	Intel
000E1F	TCL
000E35	Intel
000E66	Hitachi
000E7B	Toshiba
000E7F	HP
000E8C	Siemens
000EA6	ASUS
000EB3	HP
000EC7	Motorola
000EED	Nokia
000F12	Panasonic
000F1F	DELL
000F20	HP
000F3D	D-Link
000F61	HP
000FA0	Canon
000FB5	NETGEAR
000FBB	Nokia
000FDE	SONY
000FE2	H3C
000FE5	Mercury
001018	Broadcom
00102D	Hitachi
001055	Fujitsu
001083	HP
00108C	Fujitsu
001092	netcore
0010B3	Nokia
0010D9	IBM
0010DC	MSI
0010E3	HP
0010FA	Apple
001100	Schneider
001106	Siemens
001109	MSI
00110A	HP
001111	Intel
001124	Apple
001125	IBM
00112F	ASUS
001132	Synology
001133	Siemens
001143	DELL
001175	Intel
001185	HP
001195	D-Link
00119F	Nokia
0011D8	ASUS
001237	TI
00123F	DELL
001247	Samsung
001248	DELL
00124B	TI
001256	LG
00125A	Microsoft
001262	Nokia
001267	Panasonic
001279	HP
0012D1	TI
0012D2	TI
0012EE	SONY
0012F0	Intel
0012FB	Samsung
0012FE	Lenovo
001302	Intel
001315	SONY
001320	Intel
001321	HP
001324	Schneider
001346	D-Link
001370	Nokia
001372	DELL
001377	Samsung
0013A3	Siemens
0013A9	SONY
0013CE	Intel
0013D3	MSI
0013D4	ASUS
0013E8	Intel
0013FD	Nokia
001422	DELL
001438	HP
001451	Apple
00145E	IBM
00146C	NETGEAR
001478	TP-LINK
001480	Hitachi
0014A7	Nokia
0014C2	HP
001500	Intel
